Cap-shape,Cap-surface,Cap-color,Gill-type,Gill-color,Stipe,Flesh,Volva,Ring,Class
Cap3,Fa1,Col9,Gty4,Gc2,Sti5,Fl2,V1,R1,F
Cap3,Fa1,Col5,Gty4,Gc2,Sti5,Fl2,V1,R1,F
Cap3,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col1,Gty4,Gc10,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc10,Sti2,Fl2,V1,R1,F
Cap10,Fa5,Col8,Gty4,Gc10,Sti2,Fl2,V1,R1,T
Cap10,Fa5,Col8,Gty4,Gc8,Sti2,Fl2,V1,R1,T
Cap10,Fa5,Col9,Gty4,Gc10,Sti2,Fl2,V1,R1,T
Cap10,Fa5,Col9,Gty4,Gc8,Sti2,Fl2,V1,R1,T
Cap11,Fa5,Col8,Gty4,Gc10,Sti2,Fl2,V1,R1,T
Cap11,Fa5,Col8,Gty4,Gc8,Sti2,Fl2,V1,R1,T
Cap11,Fa5,Col9,Gty4,Gc10,Sti2,Fl2,V1,R1,T
Cap11,Fa5,Col9,Gty4,Gc8,Sti2,Fl2,V1,R1,T
Cap3,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col1,Gty4,Gc7,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc7,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col1,Gty4,Gc7,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col9,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col9,Gty4,Gc7,Sti2,Fl2,V1,R1,F
